,Id,Regiao,Data_Inicio,Andar,Elevador,Max_Ocup,Tipologia,Ar_Condicionado,Num_Reservas,Valor_FLH
78,945838,Algarve,2019-03-21,11,1.0,3,T0,1,17,2078.573
79,946841,Algarve,2019-03-22,0,,6,T3,1,11,2345.644
80,947844,Algarve,2019-03-27,2,,4,T1,0,10,902.02
81,959880,Algarve,2019-04-15,1,,12,T4,0,10,1750.805
82,969910,Algarve,2019-04-24,0,,9,T4,1,17,3028.907
83,982949,Algarve,2019-05-29,1,1.0,6,T3,1,24,3899.735
84,983952,Algarve,2019-05-27,1,,4,T2,1,19,2851.66
85,988967,Algarve,2019-05-16,0,,4,T2,0,8,698.467
86,997994,Algarve,2019-05-27,3,1.0,4,T1,1,17,1960.826
87,998997,Algarve,2019-05-27,3,1.0,4,T2,0,20,2692.795
88,979940,Cascais-Estoril,2019-05-08,1,1.0,4,T2,0,48,2367.953
89,972919,Cascais-Estoril,2019-05-02,0,,9,T5,0,17,3017.224
90,962889,Cascais-Estoril,2019-04-17,1,,4,T2,1,16,3403.162
91,915748,Cascais-Estoril,2019-02-27,0,,5,T2 Duplex,0,2,532.889
92,855568,Cascais-Estoril,2018-11-13,0,,4,T1,1,54,3945.522
93,716151,Cascais-Estoril,2018-06-18,2,,4,T1,0,6,234.724
94,710133,Cascais-Estoril,2018-06-05,5,1.0,6,T3,0,29,3472.693
95,655968,Cascais-Estoril,2018-03-28,0,,4,T2,0,1,170.121
96,644935,Cascais-Estoril,2018-03-19,0,,4,T2,1,26,3695.454
97,609183,Cascais-Estoril,2014-04-09,0,,3,T0,0,36,1915.326
98,489470,Cascais-Estoril,2017-06-22,0,0.0,6,T2,1,16,3455.032
99,326981,Cascais-Estoril,2016-06-28,0,1.0,4,T2,0,29,2951.83
100,188567,Cascais-Estoril,2015-08-24,1,,2,T1,0,46,2592.016
101,106207,Cascais-Estoril,2019-08-06,1,1.0,6,T3,0,7,994.385
102,102078,Cascais-Estoril,2019-07-08,0,,6,T3,0,16,1769.726
103,100006,Cascais-Estoril,2019-05-28,0,,8,T5,0,2,1228.199
104,178537,Ericeira,2015-07-04,2,0.0,4,T2,1,21,1285.893
105,152459,Ericeira,2015-04-19,0,,7,T3,0,13,1992.753
106,331996,Ericeira,2016-07-05,0,,4,T2,0,36,2905.952
107,352059,Ericeira,2016-08-10,0,,4,T2,0,34,2466.044
108,260783,Ericeira,2015-12-03,0,,4,T1,0,13,1123.668
109,480443,Ericeira,2017-06-08,0,0.0,8,T3,0,21,1764.833
110,534605,Ericeira,2017-09-04,0,,4,T2,0,67,4445.385
111,528587,Ericeira,2017-08-24,0,,6,T3,0,24,1508.759
112,622869,Ericeira,2018-02-19,0,,2,T1,0,19,1423.835
113,623872,Ericeira,2018-02-19,0,,4,T2,0,28,2760.94
114,624875,Ericeira,2018-02-19,0,,8,T4,0,16,3213.203
115,625878,Ericeira,2018-02-19,0,,3,T1,0,10,937.118
116,626881,Ericeira,2018-02-19,1,,8,T4,0,10,1838.018
117,628887,Ericeira,2018-02-19,2,,6,T2,0,13,1097.796
118,672019,Ericeira,2018-05-02,0,,6,T3,0,26,3427.319
119,703112,Ericeira,2018-05-23,1,0.0,6,T3,1,21,1835.617
120,720163,Ericeira,2018-06-21,0,,8,T4,0,8,1446.571
121,737214,Ericeira,2018-07-24,0,,3,T1,0,10,933.058
122,738217,Ericeira,2018-07-26,0,,9,T3,0,14,3073.343
123,869610,Ericeira,2018-11-22,0,,4,T1,0,16,864.745
124,881646,Ericeira,2019-01-07,3,1.0,6,T3,0,48,4145.113
125,955868,Ericeira,2019-06-05,0,,9,T5,0,10,784.112
126,893682,Ericeira,2019-06-05,1,,4,T2,0,6,316.82
127,949850,Ericeira,2019-03-29,0,,4,T2,0,17,1309.077
128,950853,Ericeira,2019-03-29,1,,4,T2,0,15,1691.781
129,932799,Ericeira,2019-03-13,0,,4,T2,0,14,786.296
130,933802,Ericeira,2019-03-13,0,,4,T2,0,17,853.447
131,999000,Ericeira,2019-05-27,0,,8,T3,0,4,189.07
132,969291,Fora Lisboa,2014-05-16,0,,8,T3,0,4,1043.917
133,749225,Fora Lisboa,2014-07-09,0,,8,T4,0,6,408.569
134,311936,Fora Lisboa,2016-04-28,0,0.0,6,T3,1,4,708.218
135,24975,Fora Lisboa,2015-04-26,2,,4,T2,0,8,618.268
136,198597,Lisboa,2016-02-01,5,1.0,4,T1,1,28,2544.745
137,206621,Lisboa,2015-08-01,3,1.0,4,T2,0,48,2988.797
138,208627,Lisboa,2015-04-06,4,,2,T1,0,56,2564.184
139,242729,Lisboa,2015-10-19,4,,4,T2,0,97,12496.372
140,243732,Lisboa,2015-10-23,2,,5,T2,0,98,6280.204
141,245738,Lisboa,2015-11-03,1,,4,T2,0,85,3991.806
142,247744,Lisboa,2015-11-06,0,,5,T2,0,56,3726.863
143,25978,Lisboa,2014-05-21,2,,4,T2,0,75,4175.549
144,259780,Lisboa,2015-12-01,3,1.0,6,T2,0,83,7089.74
145,314945,Lisboa,2016-05-09,3,1.0,6,T3,0,78,8692.292
146,321966,Lisboa,2016-06-07,0,,2,T0,0,55,2999.794
147,322969,Lisboa,2016-06-07,0,,2,T0,0,58,3165.239
148,323972,Lisboa,2016-06-07,2,,4,T1,1,49,4198.915
149,262789,Lisboa,2015-12-09,3,,4,T2,0,76,5046.118
150,26981,Lisboa,2014-04-08,6,1.0,3,T0,0,82,3368.736
151,278837,Lisboa,2016-02-01,0,,7,T3,0,64,5878.341
152,279840,Lisboa,2016-02-03,2,,4,T2,1,73,6464.402
153,280843,Lisboa,2016-02-05,2,,6,T3,1,73,28847.966
154,282849,Lisboa,2016-02-10,1,,4,T2,1,74,6519.086
155,285858,Lisboa,2016-02-17,0,,7,T4,1,61,11496.583
156,286861,Lisboa,2016-02-19,3,1.0,4,T2,1,67,7904.631
157,289870,Lisboa,2016-02-22,1,1.0,4,T2,1,91,8036.574
158,290873,Lisboa,2016-02-23,2,1.0,2,T1,1,60,3310.055
159,298897,Lisboa,2016-03-21,5,1.0,4,T2,0,88,7178.087
160,307924,Lisboa,2016-04-18,2,1.0,4,T2,1,71,6332.781
161,308927,Lisboa,2016-04-18,2,1.0,4,T1,1,67,4884.46
162,348047,Lisboa,2016-08-03,2,,4,T2,1,75,5215.511
163,350053,Lisboa,2016-08-03,4,,7,T4,1,70,8992.466
164,333002,Lisboa,2016-07-11,2,1.0,6,T3,0,55,4997.391
165,334005,Lisboa,2016-07-11,-1,,4,T2,0,68,4850.111
166,328987,Lisboa,2016-06-28,4,1.0,4,T2,1,70,6959.54
167,329990,Lisboa,2016-06-30,12,1.0,4,T1,1,79,5185.152
168,330993,Lisboa,2016-07-01,3,,6,T2,1,79,2545.018
169,420263,Lisboa,2017-03-23,7,1.0,4,T1,1,44,2654.792
170,421266,Lisboa,2017-03-24,4,1.0,4,T1,1,81,3637.746
171,399120,Lisboa,2013-11-17,4,,6,T2,0,53,4207.168
172,364095,Lisboa,2016-09-02,0,,4,T2,0,76,4556.307
